user_id, category
2,Guadeloupe
2,Bucharest
2,Blues
2,Algeria
2,Government
2,Switzerland
6,Blues
6,Croatia
6,Finland
6,Bookkeeping
6,Guadeloupe
6,Monterrey
6,Sardinia
6,Government
6,Brazil
6,Cuba
6,Cuisines
6,Gujarat
6,Qatar
6,Depression
6,Tamaulipas
6,Beer
6,Burgundy
6,Category
6,Senegal
6,Pop Music
6,Mac OS
8,Cologne
8,Pattaya
8,Montenegro
8,Sudan
8,Tochigi
8,Dublin
8,Virginia
8,Stockholm
8,Switzerland
8,Drama Films
8,Halifax
8,Maharashtra
8,Salads
8,Florence
8,Libraries
8,Kauai
8,Finland
8,Statistics
8,Greenland
8,Houston
8,Sardinia
8,Sapporo
8,Tennis
12,Handball
12,Kauai
12,Guadeloupe
12,Cairns
12,Soundtracks
12,Michigan
12,Comics
12,Finland
12,Hummer
12,Algeria
12,Oklahoma
12,Tennis
12,Marketing
12,Switzerland
12,Toyama
12,France
12,Brazil
12,Chile
12,Family
12,Marriage
12,Tallahassee
12,Magic
12,Akita
12,Phoenix
12,Geology
12,Nice
12,Kenya
12,Daejeon
12,Copenhagen
12,Edmonton
12,Ranges
12,Umbria
12,Audi
12,Zambia
12,Contests
12,BMX Bikes
12,Gunma
12,Moldova
12,Boating
12,Rock Music
12,Maserati
12,Surgery
12,Kobe
12,Travel
12,Skirts
12,Nissan
12,Cartoons
12,Kazakhstan
12,Los Cabos
12,Denver
12,Bahrain
12,Maldives
12,Perth
12,Government
12,Opera
12,Brandenburg
12,Tokushima
12,Poland
12,Fast Food
12,Oregon
12,Fonts
12,Nagasaki
12,China
12,Banking
12,Consulting
12,Warsaw
12,Apparel
12,History
12,Molise
12,Karnataka
12,Ghana
12,Ibaraki
12,ISPs
12,Politics
12,Kentucky
12,Wildlife
12,Sweden
12,Utah
12,Prague
12,Tunisia
12,Florence
12,Pork
12,Isuzu
12,Sapporo
12,Georgia
12,Guatemala
12,Web Series
12,Food
12,TV Dramas
12,Indonesia
12,Suriname
12,Slovenia
12,Jaguar
12,Thriller
12,Orissa
12,Sydney
12,Malaysia
12,Podcasting
12,Budapest
12,Maps
12,Guangdong
12,Toulouse
12,Statistics
12,Malta
12,Halifax
12,Costumes
12,Tablet PCs
12,Hangzhou
12,TV Comedies
12,Bucharest
12,Sardinia
12,Minnesota
12,Incheon
12,Libraries
12,Uzbekistan
22,Zambia
22,Bahrain
22,Party Games
22,California
22,Akita
22,Libraries
22,Michigan
22,Opera
22,Beijing
22,Montenegro
22,Bali
22,Kenya
22,Manila
22,Soft Drinks
22,Navy
22,Jamaica
22,ISPs
22,Halifax
22,Rings
22,Naples
22,Denver
22,Warsaw
22,Tokushima
22,Phoenix
22,Solar Power
22,Romance
22,Paraguay
22,Kauai
22,Tamaulipas
22,Tennis
22,Food
22,Finland
22,Statistics
22,Kuwait
22,Apple iOS
22,Oahu
22,Sapporo
22,Team Sports
22,Bakeries
22,Sheffield
22,Bangkok
22,Tokyo
22,Islam
22,Isuzu
22,Umbria
22,Tamil Nadu
22,Auto Racing
22,Switzerland
22,Guatemala
22,Houston
22,Contests
22,Bhutan
22,Monterrey
22,Fujian
22,Maharashtra
22,Cantabria
22,China
22,Copenhagen
22,Toulouse
22,Sardinia
22,Dishwashers
22,Veterans
22,Painting
22,Drama Films
22,Indonesia
22,Brandenburg
22,Software
22,Kyushu
22,South Asia
22,Valencia
22,Ibaraki
22,Banking
22,BMW
22,Guanajuato
22,Edmonton
22,Footwear
22,New Zealand
22,Electricity
22,Hungary
22,Germany
22,Horses
22,Lisbon
22,Georgia
22,Montreal
22,Audi
22,Consulting
22,Connecticut
22,History
22,Veneto
22,Dodge
22,Palermo
22,Buick
22,Utah
22,Iwate
22,Vienna
22,Kansas
22,France
22,Apparel
22,Zhejiang
22,Tulsa
22,Nagasaki
22,Economics
22,Symbian OS
24,Soundtracks
24,Houston
24,Wildlife
24,Consulting
24,Edmonton
24,Algeria
24,Nagasaki
24,Oregon
24,Coffee
24,Bali
24,Ibaraki
24,Fujian
24,Umbria
24,Karnataka
24,Barcelona
24,Zimbabwe
24,Myanmar
24,Politics
24,Sapporo
24,Nagano
24,Tennis
24,BMW
26,Opera
26,Tunisia
26,Isuzu
26,Suriname
26,Kanto
26,Canada
26,Libraries
26,Kauai
26,Michigan
26,Boating
26,Bucharest
26,Sapporo
26,Tennis
26,Switzerland
26,Magic
26,Florence
26,Marseille
26,Greenland
26,Dodge
26,Guadeloupe
26,Indonesia
26,Peru
26,Perth
36,Florence
36,Michigan
36,Oklahoma
36,Marriage
36,Switzerland
36,Bucharest
36,Suriname
36,Windows OS
36,Croatia
36,Boating
36,TV Comedies
36,Rwanda
38,Kuwait
38,Coffee
38,Oregon
38,Edmonton
38,Umbria
38,Wildlife
38,West India
38,Contests
38,Quebec City
38,Jamaica
38,Poetry
38,Politics
38,Soundtracks
38,Tennis
38,Consulting
38,Turkey
38,Orissa
38,Maps
38,Legal
38,Liverpool
38,Peugeot
38,New Mexico
38,Hong Kong
38,Belize
38,Pork
38,Birds
38,Theme Parks
38,Auto Racing
38,Handball
38,Hangzhou
38,Louisiana
38,Cuisines
42,Marriage
42,Michigan
42,Ishikawa
42,Boating
42,Guadeloupe
42,Brisbane
44,Yorkshire
